fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,1,1,128,8,256,47454.8
0,0,0,0,1,128,2,4096,46108.2
0,1,0,1,0,64,2,4096,46433.0
0,1,1,1,1,64,32,1024,47233.2
1,0,1,0,0,256,2,1024,135993.4
1,0,1,0,1,64,8,4096,135161.2
1,1,1,0,1,64,8,1024,127709.6
1,0,0,1,1,256,8,4096,134113.2
1,1,0,1,1,64,8,256,132419.2
1,1,1,0,1,64,32,256,133542.0
0,0,1,0,0,64,32,4096,46191.2
0,0,0,1,1,64,8,1024,47331.0
0,0,1,1,1,256,2,256,46651.4
1,1,1,1,0,64,2,4096,130507.0
1,1,1,1,0,128,2,1024,128922.6
0,0,0,1,1,128,8,1024,46358.4
0,1,1,0,0,128,2,1024,47200.2
1,0,0,1,0,128,8,4096,131102.8
0,1,0,1,0,256,32,1024,47549.4
1,0,0,1,0,256,2,4096,133050.0
1,1,1,1,1,128,32,256,135538.4
1,0,0,0,1,128,2,1024,135630.0
1,0,0,1,0,256,8,4096,131930.8
1,1,1,1,1,256,8,4096,134411.4
1,1,1,0,0,64,2,4096,135253.6
0,1,1,0,0,128,32,1024,46311.2
0,0,1,0,0,256,8,1024,46146.2
0,1,1,1,1,64,2,4096,46733.4
1,0,1,0,0,128,32,1024,135323.2
1,1,1,0,0,256,8,256,131089.2
1,1,1,0,0,256,8,4096,136698.2
0,0,0,1,0,64,8,256,46269.0
1,1,0,0,1,256,32,1024,135112.0
1,1,0,1,1,128,8,256,131563.8
1,1,0,1,1,128,2,4096,128536.4
1,1,1,0,1,256,32,4096,128597.0
0,1,1,0,1,64,32,4096,46412.4
1,1,1,0,0,256,8,256,131089.2
1,0,0,1,0,128,2,1024,131781.2
1,1,0,1,1,256,8,256,132543.6
0,0,1,0,0,256,32,1024,46212.8
1,1,1,0,1,128,32,4096,128474.6
1,1,0,0,0,128,2,4096,133164.4
0,1,1,0,0,128,2,256,46183.8
1,1,1,0,0,256,2,1024,135845.2
0,0,1,0,1,256,32,1024,45939.8
0,0,1,0,1,256,32,4096,47000.2
1,1,1,1,1,256,2,4096,127524.8
0,1,1,0,0,256,2,1024,46191.4
0,1,1,0,0,256,2,256,46407.8
1,1,0,0,0,64,2,256,132203.8
0,0,1,0,1,128,2,256,46121.0
1,0,0,0,0,128,32,4096,132886.0
0,1,0,0,1,128,2,4096,46277.6
0,0,0,1,1,128,32,256,46408.2
0,1,1,1,0,64,32,1024,46801.8
0,1,1,0,0,256,32,4096,46191.2
1,0,0,0,0,64,8,4096,130604.8
0,0,1,0,1,64,32,256,46132.4
0,0,1,0,0,64,8,1024,46291.6
1,0,1,1,0,64,32,1024,139522.4
1,0,0,0,0,128,2,1024,131468.0
0,1,1,0,1,256,2,256,46083.6
0,1,0,1,0,128,32,256,47359.0
0,0,0,1,1,256,2,256,46438.2
0,1,0,1,0,128,8,4096,46586.4
1,1,1,0,1,64,2,4096,131156.6
1,1,0,0,0,128,8,256,125404.4
1,1,0,0,0,128,32,256,131583.0
0,0,0,1,0,64,32,256,46298.4
1,0,1,0,1,128,32,1024,140847.2
0,0,1,0,0,64,32,1024,46389.6
1,0,1,0,0,64,2,1024,135076.2
0,0,1,0,1,64,32,4096,47106.4
1,0,0,1,0,256,8,256,134239.4
0,0,0,1,0,128,8,1024,46551.6
1,0,1,1,0,64,32,4096,138943.4
1,0,0,0,0,256,2,4096,132200.2
0,1,0,1,0,64,8,4096,46203.0
0,1,1,1,1,256,8,1024,46674.6
1,0,0,1,1,64,32,1024,131342.8
0,0,0,0,0,128,8,1024,46208.0
0,1,1,0,0,64,32,4096,46715.4
0,1,0,1,1,128,2,4096,46322.4
1,1,1,0,0,64,2,4096,135253.6
1,1,1,1,0,64,2,4096,130507.0
1,1,1,0,0,128,8,256,131126.8
0,0,1,1,0,256,32,1024,47774.0
0,1,0,1,1,256,2,4096,46615.0
1,0,1,1,0,128,32,4096,138185.4
1,0,0,0,1,256,32,4096,129652.6
0,1,1,1,1,256,2,1024,46812.2
0,1,1,0,1,64,32,4096,46412.4
1,1,1,0,0,128,8,4096,128931.4
0,1,0,1,1,128,32,1024,46648.6
1,1,0,0,1,256,8,256,131946.0
0,1,1,1,0,64,32,1024,46801.8
0,0,0,0,1,128,8,4096,46212.2
1,0,1,1,1,256,32,1024,139302.2
1,0,1,1,0,128,2,1024,140842.0
